country,Ausreisser_T2,Ausreisser_SPE,T2_Wert,SPE_Wert,Ausreisser_gesamt
Kyrgyz Republic,False,False,23.880334906806105,2.1047579894006363,False
Kuwait,False,False,21.27752994505688,2.766366308491069,False
"Korea, Rep.",False,False,4.298420941525812,1.1291334746172657,False
Kiribati,False,False,9.019411008218269,1.3875781012713622,False
Kenya,False,False,5.071012709256447,0.8193736793577625,False
Kazakhstan,False,False,4.1144943262306395,0.4269437592130114,False
Jordan,False,False,12.563297162371834,1.5403744469891627,False
Japan,False,False,4.9522282843242875,1.2800395393352508,False
Jamaica,False,False,2.7390817671776944,0.03967849150898756,False
Italy,False,False,5.876371687903221,0.3307467371427748,False
Israel,False,False,7.586556203796178,1.7133864233329852,False
Ireland,False,False,22.852477645615217,3.30474381925416,False
Iraq,False,False,14.879401766194977,1.5377661946661432,False
Indonesia,False,False,3.685339203134073,0.21151620650106534,False
India,False,False,4.327104493704483,0.3648949327094382,False
Iceland,False,False,12.772539439638278,1.7590975200307046,False
Hungary,False,False,4.709020053961058,0.7787819785256208,False
"Hong Kong SAR, China",False,False,9.653858723477454,1.9957515717934002,False
Honduras,False,False,3.4494743391512888,0.7107001572557736,False
Haiti,False,False,10.146826184766873,1.259496811050429,False
Guyana,True,True,94.6610808079971,6.762960381675875,True
Guinea-Bissau,False,False,6.248819439996056,0.8874857369554483,False
Guinea,False,False,8.40974200348551,0.6377701964788771,False
Guatemala,False,False,3.952821653604235,0.31460936891225816,False
Greece,False,False,6.0434936151962475,0.9242810677959626,False
Ghana,False,False,9.231852141131817,1.5136900107050546,False
Germany,False,False,6.665517461911173,1.5957552466605323,False
Georgia,False,False,4.99399308885316,1.3597742056055144,False
"Gambia, The",False,False,3.0716962033824693,0.4880587562644151,False
France,False,False,4.669632104694875,0.6602940025966588,False
Finland,False,False,7.224776196441748,1.1184904609711437,False
Fiji,False,False,15.622640424169076,1.382339568108508,False
Ethiopia,False,False,6.722600145700407,0.8714640623470685,False
Estonia,False,False,4.320447725431829,0.6274678382083284,False
Equatorial Guinea,False,False,18.29212619922182,1.6307443777882615,False
El Salvador,False,False,4.654570575516814,0.5245396943890202,False
"Egypt, Arab Rep.",False,False,2.6321974845997698,0.43814386037444786,False
Ecuador,False,False,4.828974841947806,0.500106535558549,False
Dominican Republic,False,False,2.1205165596858224,0.26267381017701646,False
Djibouti,False,False,24.474775885377365,2.3557929691317825,False
Denmark,False,False,14.026105124355626,2.5769392418843844,False
Czechia,False,False,3.7932874265117245,0.8269661795017252,False
Cyprus,False,False,7.458690590441881,1.0746493128964436,False
Croatia,False,False,2.5140922309619778,0.5453731270013628,False
Cote d'Ivoire,False,False,7.072532173698847,0.8366863777412249,False
Costa Rica,False,False,4.059807437016655,0.8914399430874169,False
"Congo, Dem. Rep.",False,False,4.6983918519278465,0.5002125351522173,False
Comoros,False,False,3.4576367153686958,0.46217118895548404,False
Colombia,False,False,4.864817039416223,0.9637141278967402,False
China,False,False,3.189511752739606,0.42653718014246883,False
Chile,False,False,4.295113170790908,0.3267631528531842,False
Canada,False,False,7.7749587278711605,1.4979572681128532,False
Cameroon,False,False,4.176132078811474,0.3745870781156282,False
Cambodia,False,False,9.841453308065008,0.6708032625840574,False
Cabo Verde,False,False,8.407550810326374,1.8844608359817578,False
Burundi,False,False,8.174793607083734,1.2376167675096503,False
Burkina Faso,False,False,9.219193587959385,1.7291300687589521,False
Bulgaria,False,False,1.8823262110122363,0.31240378914219796,False
Brunei Darussalam,False,False,11.436227584332944,1.890808594506934,False
Brazil,False,False,2.7794782807576417,0.4160707973284898,False
Botswana,False,False,18.461133302026834,2.376499188542446,False
Bosnia and Herzegovina,False,False,5.959183354177084,1.0396222537582558,False
Bolivia,False,False,4.254806222980146,0.3630136631709709,False
Bhutan,False,False,12.75946566020503,1.4759243296798636,False
Benin,False,False,5.871786124447056,0.2926060791258717,False
Belize,False,False,4.6295807079924565,0.9196749026201922,False
Belgium,False,False,5.374153827895173,1.0090471710864928,False
Belarus,False,False,7.006227876475309,1.0786903629020976,False
Bangladesh,False,False,3.4999087163635227,0.2878894679786486,False
Bahrain,False,False,9.236374668712468,1.6356365827917536,False
"Bahamas, The",False,False,6.3682509687008935,0.6410512768437263,False
Azerbaijan,False,False,26.583689898594145,2.7619481547790676,False
Austria,False,False,6.2509940586254755,1.0612862530034355,False
Australia,False,False,9.430124293907802,1.7253725245625684,False
Armenia,False,False,7.113292589334772,1.7321332343019442,False
Argentina,False,False,15.021432423032117,1.1794524089872407,False
Angola,False,False,10.606384692477137,1.2134823822917873,False
Algeria,False,False,6.168644978145552,0.6385473289040925,False
Albania,False,False,5.229316655874787,0.8428767718111447,False
